GAME,LOCATION,COORD_X,COORD_Y,DISTANCE,SHOT_CLOCK,DRIBBLES,TOUCHES,AREA,ASSISTS,EXTRA_PASS,FROM,END,TARGET,SITUATION,FINAL,PERIOD,SCORE,DIFFERENCE,PLAYER,Column,LINK,CHAMP_LEVEL,SEASON,COACH
piacenza,A,91.0,183.0,2.145,20.0,4.0,0.0,1.0,0.0,0.0,DR,2_SHOT_MISSED,0.0,,L,1.0,10--10,0.0,Phil Greene IV,,team/Piacenza/13,A2,2017/2030,Luca Dalmonte
piacenza,A,63.0,235.0,0.9687399031731893,13.0,8.0,3.0,1.0,0.0,0.0,DR,2_SHOT_MISSED,0.0,,L,1.0,10--10,0.0,Mitchell Poletti,,team/Piacenza/14,A2,2017/2031,Luca Dalmonte
piacenza,A,68.0,353.0,5.405405627702699,10.0,8.0,2.0,0.0,1.0,0.0,SHOT_IN,2_SHOT_MADE,1.0,,L,1.0,12--10,-2.0,Mattia Udom,,team/Piacenza/15,A2,2017/2032,Luca Dalmonte
piacenza,A,88.0,414.0,7.8858154302519665,11.0,10.0,4.0,0.0,1.0,0.0,SHOT_IN,3_SHOT_MADE,1.0,,L,1.0,15--12,-3.0,Iris Ikangi,,team/Piacenza/16,A2,2017/2033,Luca Dalmonte
piacenza,A,42.0,412.0,7.646486840373166,4.0,10.0,8.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MISSED,0.0,,L,1.0,17--15,-2.0,Andrea Amato,,team/Piacenza/17,A2,2017/2034,Luca Dalmonte
piacenza,A,121.0,398.0,7.662284254711515,12.0,0.0,1.0,0.0,,0.0,THROW-IN,3_SHOT_MADE,1.0,,L,1.0,20--15,-5.0,Phil Greene IV,,team/Piacenza/18,A2,2017/2035,Luca Dalmonte
piacenza,A,195.0,225.0,5.782662449080009,13.0,10.0,0.0,0.0,0.0,0.0,SHOT_IN,X_TURNOVER,0.0,,L,1.0,23--18,-5.0,Andrea Amato,,team/Piacenza/19,A2,2017/2036,Luca Dalmonte
piacenza,A,198.0,97.0,7.49794651888102,10.0,14.0,3.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MISSED,0.0,,L,1.0,25--18,-7.0,Leonardo Tote,,team/Piacenza/20,A2,2017/2037,Luca Dalmonte
piacenza,A,61.0,238.0,1.0169955752116133,2.0,5.0,6.0,1.0,1.0,0.0,THROW-IN,2_SHOT_MADE,1.0,,L,1.0,25--18,-7.0,Mitchell Poletti,,team/Piacenza/21,A2,2017/2038,Luca Dalmonte
piacenza,A,217.0,150.0,7.112128795234237,13.0,12.0,3.0,0.0,0.0,0.0,THROW-IN,3_SHOT_MISSED,0.0,,L,2.0,27--20,-7.0,Andrea Amato,,team/Piacenza/22,A2,2017/2039,Luca Dalmonte
piacenza,A,62.0,233.0,0.8841911558028615,16.0,6.0,1.0,1.0,0.0,0.0,DR,2_SHOT_MADE,1.0,,L,2.0,27--20,-7.0,Phil Greene IV,,team/Piacenza/23,A2,2017/2040,Luca Dalmonte
piacenza,A,154.0,382.0,7.702376581289699,4.0,15.0,6.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MADE,1.0,,L,2.0,30--22,-8.0,Andrea Amato,,team/Piacenza/24,A2,2017/2041,Luca Dalmonte
piacenza,A,51.0,19.0,7.684583593142832,6.0,4.0,3.0,0.0,0.0,0.0,THROW-IN,3_SHOT_MISSED,0.0,,L,2.0,30--25,-5.0,Iris Ikangi,,team/Piacenza/25,A2,2017/2042,Luca Dalmonte
piacenza,A,64.0,209.0,0.7170062761231591,13.0,0.0,0.0,1.0,0.0,0.0,OR,2_SHOT_MADE,1.0,,L,2.0,30--25,-5.0,Leonardo Tote,,team/Piacenza/26,A2,2017/2043,Luca Dalmonte
piacenza,A,86.0,299.0,3.576536033650437,10.0,13.0,3.0,1.0,0.0,0.0,AFTER_TO,X_TURNOVER,0.0,,L,2.0,30--27,-3.0,Andrea Amato,,team/Piacenza/27,A2,2017/2044,Luca Dalmonte
piacenza,A,171.0,147.0,5.534291011502739,14.0,10.0,1.0,0.0,0.0,0.0,SHOT_IN,X_TURNOVER,0.0,,L,2.0,32--27,-5.0,Andrea Amato,,team/Piacenza/28,A2,2017/2045,Luca Dalmonte
piacenza,A,46.0,412.0,7.644099489148477,7.0,16.0,3.0,0.0,1.0,0.0,DR,3_SHOT_MADE,1.0,,L,2.0,32--27,-5.0,Jamal Jones,,team/Piacenza/29,A2,2017/2046,Luca Dalmonte
piacenza,A,51.0,414.0,7.723575596833373,16.0,6.0,4.0,0.0,1.0,0.0,SHOT_IN,3_SHOT_MADE,1.0,,L,2.0,35--30,-5.0,Phil Greene IV,,team/Piacenza/30,A2,2017/2047,Luca Dalmonte
piacenza,A,57.0,243.0,1.1229020438132615,9.0,12.0,6.0,1.0,0.0,0.0,STEAL,2_SHOT_MADE,1.0,,L,2.0,35--33,-2.0,Mattia Udom,,team/Piacenza/31,A2,2017/2048,Luca Dalmonte
piacenza,A,113.0,214.0,2.575181546998192,12.0,9.0,2.0,1.0,0.0,0.0,SHOT_IN,2_SHOT_MADE,1.0,,L,2.0,37--35,-2.0,Jamal Jones,,team/Piacenza/32,A2,2017/2049,Luca Dalmonte
piacenza,A,90.0,233.0,1.8033019713847152,10.0,15.0,4.0,1.0,0.0,0.0,SHOT_IN,X_TURNOVER,0.0,,L,2.0,40--37,-3.0,Jamal Jones,,team/Piacenza/33,A2,2017/2050,Luca Dalmonte
piacenza,A,136.0,351.0,6.306192670700761,18.0,6.0,1.0,0.0,0.0,0.0,DR,2_SHOT_MISSED,0.0,,L,2.0,40--37,-3.0,Matteo Palermo,,team/Piacenza/34,A2,2017/2051,Luca Dalmonte
piacenza,A,76.0,276.0,2.598992304721197,1.0,12.0,2.0,1.0,0.0,0.0,OR,2_SHOT_MADE,1.0,,L,2.0,40--37,-3.0,Mattia Udom,,team/Piacenza/35,A2,2017/2052,Luca Dalmonte
piacenza,A,82.0,129.0,3.657276855804056,20.0,5.0,1.0,1.0,0.0,0.0,DR,X_TURNOVER,0.0,,L,2.0,40--39,-1.0,Jamal Jones,,team/Piacenza/36,A2,2017/2053,Luca Dalmonte
piacenza,A,221.0,68.0,8.908747386698087,1.0,6.0,3.0,0.0,0.0,0.0,THROW-IN,3_SHOT_MISSED,0.0,,L,2.0,43--39,-4.0,Mattia Udom,,team/Piacenza/37,A2,2017/2054,Luca Dalmonte
piacenza,A,71.0,277.0,2.556508752185292,3.0,6.0,4.0,1.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,,L,2.0,43--39,-4.0,Mitchell Poletti,,team/Piacenza/38,A2,2017/2055,Luca Dalmonte
piacenza,A,58.0,259.0,1.7310025996514276,5.0,16.0,6.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,,L,2.0,44--39,-5.0,Jamal Jones,,team/Piacenza/39,A2,2017/2056,Luca Dalmonte
piacenza,A,62.0,242.0,1.1706498195446835,11.0,10.0,1.0,1.0,0.0,0.0,DR,2_SHOT_MADE,1.0,,L,2.0,44--39,-5.0,Andrea Amato,,team/Piacenza/40,A2,2017/2057,Luca Dalmonte
piacenza,A,587.0,220.0,21.060577769852376,1.0,1.0,0.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,,L,2.0,44--41,-3.0,Iris Ikangi,,team/Piacenza/41,A2,2017/2058,Luca Dalmonte
piacenza,A,554.0,50.0,8.104215014423051,14.0,10.0,3.0,0.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,,L,3.0,44--41,-3.0,Phil Greene IV,,team/Piacenza/42,A2,2017/2059,Luca Dalmonte
piacenza,A,671.0,240.0,0.9866306299725344,4.0,17.0,4.0,1.0,1.0,0.0,THROW-IN,2_SHOT_MADE,1.0,,L,3.0,46--41,-5.0,Jamal Jones,,team/Piacenza/43,A2,2017/2060,Luca Dalmonte
piacenza,A,587.0,38.0,7.814416676886382,12.0,8.0,5.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,,L,3.0,46--43,-3.0,Jamal Jones,,team/Piacenza/44,A2,2017/2061,Luca Dalmonte
piacenza,A,526.0,246.0,6.08062406336718,4.0,14.0,5.0,0.0,0.0,0.0,DR,2_SHOT_MISSED,0.0,,L,3.0,46--43,-3.0,Mitchell Poletti,,team/Piacenza/45,A2,2017/2062,Luca Dalmonte
piacenza,A,671.0,196.0,0.8400857099129826,10.0,1.0,2.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MADE,1.0,,L,3.0,46--43,-3.0,Matteo Palermo,,team/Piacenza/46,A2,2017/2063,Luca Dalmonte
piacenza,A,566.0,371.0,7.480887246844454,10.0,16.0,3.0,0.0,0.0,0.0,THROW-IN,3_SHOT_MISSED,0.0,,L,3.0,46--45,-1.0,Matteo Palermo,,team/Piacenza/47,A2,2017/2064,Luca Dalmonte
piacenza,A,558.0,366.0,7.5160801618929,12.0,0.0,2.0,0.0,0.0,0.0,OR,3_SHOT_MISSED,0.0,,L,3.0,46--45,-1.0,Phil Greene IV,,team/Piacenza/48,A2,2017/2065,Luca Dalmonte
piacenza,A,619.0,27.0,7.733514143001227,8.0,14.0,5.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,,L,3.0,46--45,-1.0,Phil Greene IV,,team/Piacenza/49,A2,2017/2066,Luca Dalmonte
piacenza,A,663.0,181.0,1.5008667495817207,21.0,4.0,1.0,1.0,1.0,0.0,STEAL,2_SHOT_MADE,1.0,,L,3.0,46--45,-1.0,Leonardo Tote,,team/Piacenza/50,A2,2017/2067,Luca Dalmonte
piacenza,A,650.0,46.0,6.7257758660246765,10.0,16.0,3.0,0.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,,L,3.0,46--47,1.0,Leonardo Tote,,team/Piacenza/51,A2,2017/2068,Luca Dalmonte
piacenza,A,692.0,170.0,1.8642652708238705,12.0,11.0,3.0,1.0,0.0,0.0,STEAL,X_TURNOVER,0.0,,L,3.0,46--47,1.0,Phil Greene IV,,team/Piacenza/52,A2,2017/2069,Luca Dalmonte
piacenza,A,507.0,107.0,7.941553059698085,8.0,2.0,2.0,1.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,,L,3.0,48--47,-1.0,Mattia Udom,,team/Piacenza/53,A2,2017/2070,Luca Dalmonte
piacenza,A,619.0,212.0,2.345194235026174,9.0,11.0,4.0,1.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,,L,3.0,48--47,-1.0,Jamal Jones,,team/Piacenza/54,A2,2017/2071,Luca Dalmonte
piacenza,A,499.0,259.0,7.217529286397112,5.0,17.0,3.0,0.0,0.0,0.0,THROW-IN,3_SHOT_MISSED,0.0,,L,3.0,50--47,-3.0,Andrea Amato,,team/Piacenza/55,A2,2017/2072,Luca Dalmonte
piacenza,A,608.0,328.0,5.171729401273814,8.0,3.0,1.0,0.0,0.0,0.0,OR,X_TURNOVER,0.0,,L,3.0,50--47,-3.0,Andrea Amato,,team/Piacenza/56,A2,2017/2073,Luca Dalmonte
piacenza,A,580.0,386.0,7.672302196863729,8.0,13.0,4.0,0.0,1.0,0.0,AFTER_TO,3_SHOT_MADE,1.0,,L,3.0,52--47,-5.0,Matteo Palermo,,team/Piacenza/57,A2,2017/2074,Luca Dalmonte
piacenza,A,659.0,190.0,1.2792951184148247,10.0,11.0,4.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,,L,3.0,54--50,-4.0,Andrea Amato,,team/Piacenza/58,A2,2017/2075,Luca Dalmonte
piacenza,A,652.0,235.0,1.287590773499096,14.0,0.0,0.0,1.0,0.0,0.0,OR,2_FS,0.0,,L,3.0,54--50,-4.0,Curtis Nwohuocha,,team/Piacenza/59,A2,2017/2076,Luca Dalmonte
piacenza,A,654.0,50.0,6.547007026115063,7.0,12.0,4.0,0.0,1.0,1.0,DR,2_SHOT_MADE,1.0,,L,4.0,57--51,-6.0,Leonardo Tote,,team/Piacenza/60,A2,2017/2077,Luca Dalmonte
piacenza,A,622.0,23.0,7.848404806073652,5.0,14.0,4.0,0.0,1.0,0.0,SHOT_IN,3_SHOT_MADE,1.0,,L,4.0,59--53,-6.0,Andrea Amato,,team/Piacenza/61,A2,2017/2078,Luca Dalmonte
piacenza,A,654.0,215.0,0.9757796882493507,10.0,12.0,3.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MADE,1.0,,L,4.0,61--56,-5.0,Leonardo Tote,,team/Piacenza/62,A2,2017/2079,Luca Dalmonte
piacenza,A,666.0,246.0,1.2751270524932017,8.0,7.0,5.0,1.0,0.0,0.0,THROW-IN,2_FS,0.0,,L,4.0,64--58,-6.0,Mitchell Poletti,,team/Piacenza/63,A2,2017/2080,Luca Dalmonte
piacenza,A,597.0,31.0,7.891985111491278,16.0,8.0,2.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,,L,4.0,64--58,-6.0,Phil Greene IV,,team/Piacenza/64,A2,2017/2081,Luca Dalmonte
piacenza,A,511.0,302.0,7.360571988643274,5.0,10.0,2.0,0.0,0.0,0.0,OR,3_SHOT_MISSED,0.0,,L,4.0,64--58,-6.0,Andrea Amato,,team/Piacenza/65,A2,2017/2082,Luca Dalmonte
piacenza,A,558.0,367.0,7.5464748061594955,11.0,9.0,5.0,0.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,,L,4.0,64--58,-6.0,Jamal Jones,,team/Piacenza/66,A2,2017/2083,Luca Dalmonte
piacenza,A,670.0,239.0,0.9632289447478205,21.0,4.0,1.0,1.0,1.0,0.0,STEAL,2_SHOT_MADE,1.0,,L,4.0,64--58,-6.0,Andrea Amato,,team/Piacenza/67,A2,2017/2084,Luca Dalmonte
piacenza,A,652.0,182.0,1.6932468809952081,12.0,10.0,2.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MADE,1.0,,L,4.0,66--60,-6.0,Phil Greene IV,,team/Piacenza/68,A2,2017/2085,Luca Dalmonte
piacenza,A,622.0,406.0,7.736267123102718,13.0,7.0,4.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,,L,4.0,66--62,-4.0,Jamal Jones,,team/Piacenza/69,A2,2017/2086,Luca Dalmonte
piacenza,A,547.0,252.0,5.336020989463966,17.0,3.0,3.0,0.0,1.0,0.0,AFTER_TO,2_SHOT_MADE,1.0,,L,4.0,66--62,-4.0,Mitchell Poletti,,team/Piacenza/70,A2,2017/2087,Luca Dalmonte
piacenza,A,518.0,305.0,7.174516150933107,19.0,3.0,2.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,,L,4.0,66--64,-2.0,Phil Greene IV,,team/Piacenza/71,A2,2017/2088,Luca Dalmonte
piacenza,A,514.0,79.0,8.36402259681309,15.0,4.0,3.0,0.0,0.0,0.0,DR,X_TURNOVER,0.0,,L,4.0,66--64,-2.0,Andrea Amato,,team/Piacenza/72,A2,2017/2089,Luca Dalmonte
piacenza,A,680.0,258.0,1.6384642199328003,13.0,10.0,2.0,1.0,0.0,0.0,DR,2_FS,0.0,,L,4.0,66--64,-2.0,Jamal Jones,,team/Piacenza/73,A2,2017/2090,Luca Dalmonte
piacenza,A,532.0,160.0,6.134911979808675,13.0,8.0,1.0,0.0,0.0,0.0,DR,X_TURNOVER,0.0,,L,4.0,66--66,0.0,Mitchell Poletti,,team/Piacenza/74,A2,2017/2091,Luca Dalmonte
piacenza,A,626.0,118.0,4.345132103860595,13.0,15.0,1.0,0.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,,L,4.0,68--66,-2.0,Andrea Amato,,team/Piacenza/75,A2,2017/2092,Luca Dalmonte
piacenza,A,495.0,167.0,7.426095676733502,17.0,4.0,4.0,0.0,0.0,0.0,AFTER_TO,3_SHOT_MISSED,0.0,,L,4.0,71--66,-5.0,Mattia Udom,,team/Piacenza/76,A2,2017/2093,Luca Dalmonte
piacenza,A,684.0,135.0,3.1650127961826633,14.0,5.0,4.0,1.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,,L,4.0,71--66,-5.0,Mattia Udom,,team/Piacenza/77,A2,2017/2094,Luca Dalmonte
piacenza,A,612.0,110.0,4.890575119553937,18.0,0.0,1.0,0.0,0.0,0.0,AFTER_TO,2_SHOT_MADE,1.0,,L,4.0,73--66,-7.0,Matteo Palermo,,team/Piacenza/78,A2,2017/2095,Luca Dalmonte
piacenza,A,660.0,235.0,1.0479322497184635,4.0,12.0,4.0,1.0,0.0,0.0,SHOT_IN,2_SHOT_MADE,1.0,,L,4.0,75--68,-7.0,Mitchell Poletti,,team/Piacenza/79,A2,2017/2096,Luca Dalmonte
vsMontegranaro,H,207.0,309.0,7.217529286397112,7.0,13.0,5.0,0.0,0.0,0.0,JUMP_BALL,3_SHOT_MADE,1.0,P,W,1.0,0--0,0.0,Phil Greene IV,,team/montegranaro/1,A2,2017/2097,Luca Dalmonte
vsMontegranaro,H,198.0,203.0,5.910784211929919,10.0,14.0,5.0,0.0,1.0,0.0,SHOT_IN,2_SHOT_MADE,1.0,P+P,W,1.0,3--3,0.0,Mitchell Poletti,,team/montegranaro/2,A2,2017/2098,Luca Dalmonte
vsMontegranaro,H,62.0,239.0,1.0709033569841866,18.0,5.0,2.0,0.0,0.0,0.0,DR,2_SHOT_MISSED,0.0,FB,W,1.0,5--3,2.0,Phil Greene IV,,team/montegranaro/3,A2,2017/2099,Luca Dalmonte
vsMontegranaro,H,172.0,145.0,5.6065128199264835,4.0,20.0,6.0,0.0,0.0,0.0,THROW-IN,2_SHOT_MADE,1.0,P,W,1.0,5--3,2.0,Jamal Jones,,team/montegranaro/4,A2,2017/2100,Luca Dalmonte
vsMontegranaro,H,70.0,246.0,1.4742825373719923,20.0,4.0,1.0,1.0,1.0,0.0,STEAL,2_SHOT_MADE,1.0,FB,W,1.0,7--3,4.0,Mattia Udom,,team/montegranaro/5,A2,2017/2101,Luca Dalmonte
vsMontegranaro,H,81.0,170.0,2.2308545447877144,18.0,6.0,2.0,1.0,0.0,0.0,STEAL,X_TURNOVER,0.0,FB,W,1.0,9--3,6.0,Jamal Jones,,team/montegranaro/6,A2,2017/2102,Luca Dalmonte
vsMontegranaro,H,106.0,336.0,5.2150744002363,11.0,16.0,4.0,0.0,0.0,0.0,SHOT_IN,2_SHOT_MADE,1.0,P+I,W,1.0,9--5,4.0,Phil Greene IV,,team/montegranaro/7,A2,2017/2103,Luca Dalmonte
vsMontegranaro,H,277.0,220.0,8.971356419182108,2.0,13.0,6.0,0.0,1.0,0.0,SHOT_IN,3_SHOT_MADE,1.0,CO,W,1.0,11--8,3.0,Phil Greene IV,,team/montegranaro/8,A2,2017/2104,Luca Dalmonte
vsMontegranaro,H,66.0,277.0,2.491730723814273,6.0,12.0,6.0,0.0,0.0,0.0,SHOT_IN,2_SHOT_MISSED,0.0,I,W,1.0,14--10,4.0,Mitchell Poletti,,team/montegranaro/9,A2,2017/2105,Luca Dalmonte
vsMontegranaro,H,57.0,231.0,0.7030824987154779,20.0,3.0,2.0,1.0,1.0,0.0,DR,2_SHOT_MADE,1.0,C,W,1.0,14--10,4.0,Jamal Jones,,team/montegranaro/10,A2,2017/2106,Luca Dalmonte
vsMontegranaro,H,164.0,257.0,4.8350563595474245,13.0,10.0,3.0,0.0,0.0,0.0,SHOT_IN,2_SHOT_MISSED,0.0,P+P,W,1.0,16--12,4.0,Mattia Udom,,team/montegranaro/11,A2,2017/2107,Luca Dalmonte
vsMontegranaro,H,110.0,199.0,2.5448807437677705,14.0,8.0,3.0,1.0,0.0,0.0,DR,2_SHOT_MISSED,0.0,P+I,W,1.0,16--12,4.0,Mattia Udom,,team/montegranaro/12,A2,2017/2108,Luca Dalmonte
vsMontegranaro,H,63.0,235.0,0.9687399031731893,14.0,0.0,0.0,1.0,0.0,0.0,OR,2_SHOT_MADE,1.0,I,W,1.0,16--12,4.0,Mattia Udom,,team/montegranaro/13,A2,2017/2109,Luca Dalmonte
vsMontegranaro,H,81.0,229.0,1.419621428409701,20.0,3.0,0.0,1.0,0.0,0.0,DR,2_SHOT_MADE,1.0,FB,W,1.0,18--12,6.0,Jamal Jones,,team/montegranaro/14,A2,2017/2110,Luca Dalmonte
vsMontegranaro,H,86.0,194.0,1.7463118278245726,10.0,16.0,3.0,1.0,0.0,0.0,SHOT_IN,2_SHOT_MISSED,0.0,I,W,1.0,20--15,5.0,Jamal Jones,,team/montegranaro/15,A2,2017/2111,Luca Dalmonte
vsMontegranaro,H,62.0,246.0,1.3080997668373768,15.0,9.0,2.0,1.0,0.0,0.0,SHOT_IN,2_SHOT_MADE,1.0,I,W,1.0,20--18,2.0,Mattia Udom,,team/montegranaro/16,A2,2017/2112,Luca Dalmonte
vsMontegranaro,H,73.0,78.0,5.476688780641091,10.0,5.0,2.0,0.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,I,W,1.0,22--21,1.0,Mattia Udom,,team/montegranaro/17,A2,2017/2113,Luca Dalmonte
vsMontegranaro,H,174.0,125.0,6.093242978907044,9.0,17.0,2.0,0.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,P+I,W,1.0,22--21,1.0,Phil Greene IV,,team/montegranaro/18,A2,2017/2114,Luca Dalmonte
vsMontegranaro,H,242.0,88.0,9.097037374882001,13.0,13.0,3.0,0.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,I,W,1.0,22--21,1.0,Curtis Nwohuocha,,team/montegranaro/19,A2,2017/2115,Luca Dalmonte
vsMontegranaro,H,73.0,58.0,6.244873097189406,4.0,18.0,4.0,0.0,0.0,0.0,SHOT_IN,2_SHOT_MISSED,0.0,P+P,W,1.0,22--23,-1.0,Leonardo Tote,,team/montegranaro/20,A2,2017/2116,Luca Dalmonte
vsMontegranaro,H,269.0,271.0,8.919752743209871,18.0,6.0,1.0,0.0,0.0,0.0,DR,X_TURNOVER,0.0,FB,W,2.0,22--23,-1.0,Phil Greene IV,,team/montegranaro/21,A2,2017/2117,Luca Dalmonte
vsMontegranaro,H,76.0,388.0,6.802677781579838,5.0,14.0,4.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MISSED,0.0,CO,W,2.0,22--26,-4.0,Leonardo Tote,,team/montegranaro/22,A2,2017/2118,Luca Dalmonte
vsMontegranaro,H,116.0,344.0,5.671114969739196,13.0,11.0,2.0,0.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,I,W,2.0,22--26,-4.0,Phil Greene IV,,team/montegranaro/23,A2,2017/2119,Luca Dalmonte
vsMontegranaro,H,190.0,222.0,5.581906932223074,13.0,10.0,3.0,0.0,0.0,0.0,SHOT_IN,2_SHOT_MISSED,0.0,I,W,2.0,22--28,-6.0,Andrea Amato,,team/montegranaro/24,A2,2017/2120,Luca Dalmonte
vsMontegranaro,H,52.0,19.0,7.685474220892293,14.0,8.0,3.0,0.0,0.0,0.0,STEAL,3_SHOT_MISSED,0.0,CO,W,2.0,22--28,-6.0,Riccardo Visconti,,team/montegranaro/25,A2,2017/2121,Luca Dalmonte
vsMontegranaro,H,221.0,171.0,7.009266794751074,19.0,6.0,1.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,FB,W,2.0,22--28,-6.0,Andrea Amato,,team/montegranaro/26,A2,2017/2122,Luca Dalmonte
vsMontegranaro,H,70.0,129.0,3.5095666399143925,9.0,11.0,4.0,0.0,0.0,0.0,DR,X_TURNOVER,0.0,I,W,2.0,22--28,-6.0,Curtis Nwohuocha,,team/montegranaro/27,A2,2017/2123,Luca Dalmonte
vsMontegranaro,H,62.0,241.0,1.1370356194948337,6.0,11.0,3.0,1.0,0.0,0.0,SHOT_IN,2_SHOT_MADE,1.0,I,W,2.0,22--30,-8.0,Andrea Amato,,team/montegranaro/28,A2,2017/2124,Luca Dalmonte
vsMontegranaro,H,87.0,280.0,2.9434021132016603,15.0,10.0,1.0,1.0,0.0,0.0,SHOT_IN,2_FS,0.0,I,W,2.0,24--33,-9.0,Andrea Amato,,team/montegranaro/29,A2,2017/2125,Luca Dalmonte
vsMontegranaro,H,83.0,225.0,1.4472100745917988,7.0,3.0,3.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,I,W,2.0,26--33,-7.0,Mitchell Poletti,,team/montegranaro/30,A2,2017/2126,Luca Dalmonte
vsMontegranaro,H,120.0,31.0,7.756393105045669,14.0,0.0,0.0,0.0,0.0,0.0,OR,3_SHOT_MADE,1.0,CO,W,2.0,26--33,-7.0,Phil Greene IV,,team/montegranaro/31,A2,2017/2127,Luca Dalmonte
vsMontegranaro,H,159.0,246.0,4.521982308678353,18.0,7.0,1.0,0.0,0.0,0.0,DR,2_SHOT_MISSED,0.0,I,W,2.0,29--33,-4.0,Andrea Amato,,team/montegranaro/32,A2,2017/2128,Luca Dalmonte
vsMontegranaro,H,97.0,294.0,3.6133452644329465,6.0,4.0,4.0,0.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,I,W,2.0,29--33,-4.0,Iris Ikangi,,team/montegranaro/33,A2,2017/2129,Luca Dalmonte
vsMontegranaro,H,100.0,333.0,5.009337081890178,17.0,7.0,0.0,0.0,0.0,0.0,STEAL,2_SHOT_MADE,1.0,FB,W,2.0,29--33,-4.0,Andrea Amato,,team/montegranaro/34,A2,2017/2130,Luca Dalmonte
vsMontegranaro,H,216.0,335.0,8.0610273538799,18.0,5.0,2.0,0.0,0.0,0.0,DR,X_TURNOVER,0.0,FB,W,2.0,31--33,-2.0,Riccardo Visconti,,team/montegranaro/35,A2,2017/2131,Luca Dalmonte
vsMontegranaro,H,199.0,160.0,6.317518500170775,14.0,10.0,3.0,0.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,P,W,2.0,31--33,-2.0,Andrea Amato,,team/montegranaro/36,A2,2017/2132,Luca Dalmonte
vsMontegranaro,H,52.0,414.0,7.724461728819685,19.0,4.0,2.0,0.0,1.0,0.0,DR,3_SHOT_MADE,1.0,CO,W,2.0,31--33,-2.0,Riccardo Visconti,,team/montegranaro/37,A2,2017/2133,Luca Dalmonte
vsMontegranaro,H,115.0,184.0,2.930973899576726,16.0,6.0,4.0,1.0,0.0,0.0,SHOT_IN,X_TURNOVER,0.0,P,W,2.0,34--36,-2.0,Andrea Amato,,team/montegranaro/38,A2,2017/2134,Luca Dalmonte
vsMontegranaro,H,85.0,208.0,1.5144860514379128,7.0,10.0,3.0,1.0,0.0,0.0,SHOT_IN,2_FS,0.0,P+R,W,2.0,34--38,-4.0,Mitchell Poletti,,team/montegranaro/39,A2,2017/2135,Luca Dalmonte
vsMontegranaro,H,225.0,126.0,7.778911491976239,11.0,12.0,3.0,0.0,1.0,0.0,SHOT_IN,3_SHOT_MADE,1.0,CO,W,2.0,35--40,-5.0,Andrea Amato,,team/montegranaro/40,A2,2017/2136,Luca Dalmonte
vsMontegranaro,H,105.0,292.0,3.728530541647741,5.0,18.0,0.0,0.0,0.0,0.0,DR,2_FS,0.0,I,W,2.0,38--40,-2.0,Andrea Amato,,team/montegranaro/41,A2,2017/2137,Luca Dalmonte
vsMontegranaro,H,605.0,229.0,2.930195385976847,9.0,12.0,4.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MADE,1.0,I,W,3.0,39--40,-1.0,Phil Greene IV,,team/montegranaro/42,A2,2017/2138,Luca Dalmonte
vsMontegranaro,H,657.0,245.0,1.419621428409701,12.0,10.0,3.0,1.0,0.0,0.0,DR,2_FS,0.0,OS,W,3.0,41--40,1.0,Jamal Jones,,team/montegranaro/43,A2,2017/2139,Luca Dalmonte
vsMontegranaro,H,546.0,258.0,5.439486464731758,10.0,2.0,2.0,0.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,P+P,W,3.0,42--40,2.0,Mitchell Poletti,,team/montegranaro/44,A2,2017/2140,Luca Dalmonte
